precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DonaldJTrump,DonaldJTrump_AbsenteebyMail,DonaldJTrump_AdvanceinPerson,DonaldJTrump_ElectionDay,DonaldJTrump_Provisional,GaryJohnson,GaryJohnson_AbsenteebyMail,GaryJohnson_AdvanceinPerson,GaryJohnson_ElectionDay,GaryJohnson_Provisional,HillaryClinton,HillaryClinton_AbsenteebyMail,HillaryClinton_AdvanceinPerson,HillaryClinton_ElectionDay,HillaryClinton_Provisional,LIB,LIB_AbsenteebyMail,LIB_AdvanceinPerson,LIB_ElectionDay,LIB_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
05A1,1465,65,694,704,2,147,3,46,97,1,83,1,26,56,0,1465,65,694,704,2,83,1,26,56,0,147,3,46,97,1
05A2,1502,38,696,767,1,121,3,47,70,1,61,0,19,42,0,1502,38,696,767,1,61,0,19,42,0,121,3,47,70,1
05B,852,28,333,482,9,55,1,17,36,1,37,2,9,26,0,852,28,333,482,9,37,2,9,26,0,55,1,17,36,1
05C,63,2,32,27,2,3,0,1,2,0,0,0,0,0,0,63,2,32,27,2,0,0,0,0,0,3,0,1,2,0
05D,117,2,49,49,17,8,0,3,3,2,3,0,1,2,0,117,2,49,49,17,3,0,1,2,0,8,0,3,3,2
05F,71,1,39,31,0,7,0,3,4,0,2,1,1,0,0,71,1,39,31,0,2,1,1,0,0,7,0,3,4,0
05J,350,14,177,155,4,47,4,14,29,0,21,0,4,17,0,350,14,177,155,4,21,0,4,17,0,47,4,14,29,0
05K,1255,29,582,626,18,85,6,36,42,1,55,2,20,30,3,1255,29,582,626,18,55,2,20,30,3,85,6,36,42,1
06B,1012,52,473,487,0,197,4,81,112,0,69,3,17,49,0,1012,52,473,487,0,69,3,17,49,0,197,4,81,112,0
06D,4561,277,2491,1790,3,1152,70,494,587,1,255,14,93,148,0,4561,277,2491,1790,3,255,14,93,148,0,1152,70,494,587,1
06E,1216,66,574,575,1,253,17,89,147,0,53,4,19,30,0,1216,66,574,575,1,53,4,19,30,0,253,17,89,147,0
06F,1455,69,610,775,1,281,9,90,182,0,107,3,23,81,0,1455,69,610,775,1,107,3,23,81,0,281,9,90,182,0
06G,307,25,151,131,0,53,5,17,31,0,13,0,3,10,0,307,25,151,131,0,13,0,3,10,0,53,5,17,31,0
06I,1448,54,805,588,1,233,7,94,132,0,83,3,31,49,0,1448,54,805,588,1,83,3,31,49,0,233,7,94,132,0
