"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"46","Simpson 01",386,35,143,206,2,955,117,290,546,2,386,35,143,206,2,955,117,290,546,2,1401,1670,"Cobb",1,1341,1341,83.8922155688623,95.7173447537473,80.2994011976048,95.7173447537473,80.2994011976048,28.7844891871738,28.7844891871738,27.5517487508922,23.1137724550898,71.2155108128263,71.2155108128263,68.1655960028551,57.185628742515,0,1,0
"47","Sope Creek 01",446,19,181,245,1,1191,122,364,704,1,446,19,181,245,1,1191,122,364,704,1,1695,1953,"Cobb",1,1637,1637,86.78955453149,96.5781710914454,83.8197644649258,96.5781710914454,83.8197644649258,27.2449602932193,27.2449602932193,26.3126843657817,22.836661546339,72.7550397067807,72.7550397067807,70.2654867256637,60.9831029185868,0,1,0
"48","Sope Creek 02",1088,102,509,473,4,1905,206,645,1049,5,1088,102,509,473,4,1905,206,645,1049,5,3103,3862,"Cobb",1,2993,2993,80.3469704816157,96.4550435062842,77.4987053340238,96.4550435062842,77.4987053340238,36.3514868025393,36.3514868025393,35.0628424105704,28.1719316416365,63.6485131974607,63.6485131974607,61.3922010957138,49.3267736923874,0,1,0
"49","Sope Creek 03",555,54,202,299,0,1459,130,347,978,4,555,54,202,299,0,1459,130,347,978,4,2093,2533,"Cobb",1,2014,2014,82.6292933280695,96.225513616818,79.510461902882,96.225513616818,79.510461902882,27.5571002979146,27.5571002979146,26.51696129957,21.9107777339124,72.4428997020854,72.4428997020854,69.708552317248,57.5996841689696,0,1,0
"50","Timber Ridge 01",523,60,163,300,0,1334,108,331,893,2,523,60,163,300,0,1334,108,331,893,2,1919,2221,"Cobb",1,1857,1857,86.4025213867627,96.7691505992704,83.6109860423233,96.7691505992704,83.6109860423233,28.163704900377,28.163704900377,27.2537780093799,23.5479513732553,71.836295099623,71.836295099623,69.5153725898906,60.063034669068,0,1,0
"51","Wileo 01",590,43,222,325,0,1522,146,441,933,2,590,43,222,325,0,1522,146,441,933,2,2192,2528,"Cobb",1,2112,2112,86.7088607594937,96.3503649635037,83.5443037974684,96.3503649635037,83.5443037974684,27.9356060606061,27.9356060606061,26.9160583941606,23.3386075949367,72.0643939393939,72.0643939393939,69.4343065693431,60.2056962025316,0,1,0
"52","ASHFORD DUNWOODY RD",790,61,455,274,0,1252,89,547,616,0,790,61,455,274,0,1252,89,547,616,0,2153,2500,"DeKalb",1,2042,2042,86.12,94.8444031583837,81.68,94.8444031583837,81.68,38.6875612144956,38.6875612144956,36.6929865304227,31.6,61.3124387855044,61.3124387855044,58.151416627961,50.08,0,1,0
"53","ASHFORD PARK ELEM",554,26,306,221,1,1116,52,506,558,0,554,26,306,221,1,1116,52,506,558,0,1778,2053,"DeKalb",1,1670,1670,86.6049683390161,93.92575928009,81.3443740867024,93.92575928009,81.3443740867024,33.1736526946108,33.1736526946108,31.1586051743532,26.9849001461276,66.8263473053892,66.8263473053892,62.7671541057368,54.3594739405748,0,1,0
"54","ASHFORD PARKSIDE",1071,190,494,387,0,1281,93,609,576,3,1071,190,494,387,0,1281,93,609,576,3,2543,2991,"DeKalb",1,2352,2352,85.0217318622534,92.4891860007865,78.6359077231695,92.4891860007865,78.6359077231695,45.5357142857143,45.5357142857143,42.115611482501,35.8074222668004,54.4642857142857,54.4642857142857,50.3735745182855,42.8284854563691,0,1,0
"55","AUSTIN",505,43,311,150,1,1407,114,654,638,1,505,43,311,150,1,1407,114,654,638,1,1997,2281,"DeKalb",1,1912,1912,87.5493204734765,95.7436154231347,83.8228846996931,95.7436154231347,83.8228846996931,26.4121338912134,26.4121338912134,25.2879318978468,22.1394125383604,73.5878661087866,73.5878661087866,70.4556835252879,61.6834721613328,0,1,0
